date,campaign,channel,spend,revenue,conversions
2025-01-05,Search Boost,Paid Search,900,2400,48
2025-01-16,Social Launch,Social Media,650,1450,31
2025-01-25,Winter Email,Email,220,1100,27
2025-02-07,Search Boost,Paid Search,980,2650,54
2025-02-15,Social Launch,Social Media,700,1580,34
2025-02-24,Winter Email,Email,240,1210,30
2025-03-04,Spring Search,Paid Search,1100,3100,63
2025-03-14,Spring Social,Social Media,760,1760,38
2025-03-26,Spring Email,Email,260,1390,35
2025-04-06,Spring Search,Paid Search,1180,3350,68
2025-04-17,Spring Social,Social Media,820,1940,41
2025-04-28,Spring Email,Email,280,1510,39
2025-05-05,Summer Search,Paid Search,1250,3620,73
2025-05-16,Summer Social,Social Media,890,2180,46
2025-05-27,Summer Email,Email,310,1690,43
2025-06-08,Summer Search,Paid Search,1340,3890,78
2025-06-19,Summer Social,Social Media,940,2360,50
2025-06-29,Summer Email,Email,330,1810,46
